mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	WW	ZZ	γγ	tt	hh
250	0.08277739033672825	0.0026467753885580387	0.6366643582023368	0.36033100454803507	0.00033084692356975484	0.	0.
260	0.08289164600633062	0.002748852228532234	0.6354628345371651	0.3611781437008003	0.00034360652856652924	0.+0.	0.0002385051312151215
300	0.08383906292865688	0.003135910423885617	0.6301751862277114	0.35728282586493093	0.00039198880298570214	0.+0.	0.00898207634989881
400	0.09934759277400619	0.003528510811058349	0.5645291819704685	0.3094273630530532	0.0004410638513822936	0.0652715442832327	0.05676631040764654
500	0.14329553129605874	0.0030579203341610487	0.43306026933182096	0.23107639249146034	0.0003822400417701311	0.24971833393978757	0.08267362069350354
600	0.19703389937797677	0.0026686960182666316	0.3522004268036844	0.18465594982209813	0.00033358700228332895	0.3681648991309064	0.09194919121683677
700	0.25310748978599595	0.0024237166866976777	0.306119172943656	0.1586447582400901	0.0003029645858372097	0.4368490392769574	0.09563559916637383
750	0.2812196949645335	0.0023372455421368597	0.2905316719858566	0.1499176638572102	0.00029215569276710746	0.4602676887164924	0.09662970788334772
800	0.30921812536790483	0.002267325401695798	0.2781621777017708	0.14301853100044015	0.00028341567521197473	0.4789188042874608	0.09732659343012394
900	0.36469555202292286	0.002162722768965266	0.2600300284419047	0.13294832734981618	0.0002703403461206583	0.5063682053076488	0.09819829119075223
1000	0.41940213666380594	0.002089575997062125	0.24760630932823052	0.12607893374826087	0.0002611969996327656	0.5252524539638087	0.09869019214731996
1500	0.6836389638734017	0.0019228847773476534	0.22005013790397887	0.1109356953055133	0.00024036059716845667	0.5673698430776551	0.09946144235555525
1800	0.8374451957168412	0.001883670425561844	0.21371662932013388	0.10747431531156655	0.0002354588031952305	0.5770971557611422	0.09957353475983793
2000	0.9388367312752451	0.0018669330005843705	0.21103043636291363	0.10600852517377926	0.00023336662507304632	0.5812282648890769	0.09961340921364503
2500	1.1897674466316626	0.0018414788544819129	0.20696480536908055	0.10379262318163233	0.0002301848568102391	0.5874871753299156	0.09966492755238268
3000	1.4384281635841456	0.0018277714384545797	0.20478514049527263	0.102605948149462	0.00022847142980682246	0.5908458888947753	0.09968811468551785
3500	1.6857513518233243	0.001819547247756781	0.20348064946832398	0.1018961877814816	0.00022744340596959762	0.5928570949119691	0.09970049624465763
4500	2.1781226874981	0.0018105852774673418	0.2020619221283911	0.1011246527052455	0.00022632315968341773	0.5950453453241238	0.09971268196476021
5000	2.4236171716839046	0.0018079848751037747	0.201650808621434	0.10090115453770737	0.00022599810938797184	0.595679628245177	0.09971596272035
6000	2.913792158906126	0.0018046022298685695	0.20111639160218706	0.10061067367729358	0.00022557527873357118	0.5965042701556864	0.09972005870140675
6500	3.1585966050536234	0.0018034661777215034	0.20093700194424224	0.10051317966856908	0.00022543327221518793	0.5967811114023248	0.09972139077893295
7000	3.4032658097691115	0.001802565185362644	0.20079476286862696	0.10043588067236531	0.0002253206481703305	0.5970006314004876	0.09972243166791797
10000	4.869571288067415	0.001799691566353603	0.20034130263652214	0.10018947728544222	0.00022496144579420039	0.5977005293895484	0.09972565945826732
12500	6.090324616868925	0.0017986985362444567	0.2001846708180111	0.10010437547891594	0.00022483731703055708	0.5979423074646655	0.09972674230567458
15000	7.310581167495004	0.00179815930733223	0.20009963253875004	0.10005817420538154	0.00022476991341652876	0.5980735781637129	0.09972732329735563
30000	14.628637279887512	0.0017972404834197854	0.19995475502400742	0.09997946562282102	0.00022465506042747318	0.5982972286981252	0.0997283019181355
40000	19.506303657909978	0.0017971065215810495	0.1999336348557249	0.0999679918775847	0.0002246383151976312	0.5983298332028364	0.09972844340173243
50000	24.38372083989598	0.0017970445192584399	0.1999238599073107	0.09996268156812026	0.00022463056490730498	0.5983449234657736	0.09972850878231664
