mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	0.07537604	1.	-0.7	2.	2.23606797749979	-2.118962010041709
15.	0.07221576	1.	-0.6	2.	2.23606797749979	-2.08806130178211
20.	0.068921	0.9	-0.6	2.	2.193171219946131	-2.08806130178211
25.	0.065686756	0.8	-0.6	2.	2.154065922853802	-2.08806130178211
30.	0.062526476	0.9	-0.5	2.	2.193171219946131	-2.0615528128088303
35.	0.059487227999999996	0.8	-0.5	1.9	2.0615528128088303	-1.96468827043885
40.	0.056609356	0.8	-0.5	1.9	2.0615528128088303	-1.96468827043885
45.	0.053865963999999995	0.8	-0.4	1.9	2.0615528128088303	-1.9416487838947598
50.	0.051283947999999996	0.8	-0.4	1.9	2.0615528128088303	-1.9416487838947598
55.	0.048843136	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
60.	0.046556976	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
65.	0.044398572	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
70.	0.042367924	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
75.	0.040451584	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
80.	0.038649552000000004	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
85.	0.036955104	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
90.	0.035354792	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
95.	0.033848616	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
100.	0.032423128	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
105.	0.031085052000000002	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
110.	0.029814216	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
115.	0.02861062	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
120.	0.027474264	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
125.	0.026391699999999997	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
130.	0.025369652	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
135.	0.024401396	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
140.	0.023480208	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
145.	0.022606088	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
150.	0.021779035999999998	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
160.	0.02023924	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
170.	0.018840648	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
180.	0.017563088	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
190.	0.01640656	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
200.	0.015344168	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
